=== Encryption-Side Key Sensitivity (eps=1e-13) ===
Variable,NPCR (%),UACI (%),MSE
x1_0,99.6460,33.5659,11040.27
x2_0,99.6460,33.5659,11040.27
x3_0,99.6460,33.5659,11040.27
x4_0,99.5300,33.1478,10796.61

=== Decryption-Side Key Sensitivity (eps=1e-13) ===
Variable,NPCR vs Correct (%),UACI vs Correct (%),NPCR vs Original (%),UACI vs Original (%),MSE vs Original
x1_0,99.5850,34.9317,99.5850,34.9317,11854.7036
x2_0,99.5850,34.9317,99.5850,34.9317,11854.7036
x3_0,99.5850,34.9317,99.5850,34.9317,11854.7036
x4_0,99.5667,34.8742,99.5667,34.8742,11838.9039

=== Multi-Epsilon Sweep (x1 perturbed) ===
Epsilon,NPCR (%),UACI (%)
1e-10,99.6399,33.5292
1e-11,99.5667,33.5516
1e-12,99.6277,33.3851
5e-13,99.6338,33.4416
1e-13,99.6460,33.5659
5e-14,99.6155,33.4923
1e-14,99.5911,33.6706
1e-15,99.6338,33.5557
1e-16,99.6338,33.5409
