=== Encryption-Side Key Sensitivity (eps=1e-13) ===
Variable,NPCR (%),UACI (%),MSE
x1_0,99.6277,33.3175,10857.98
x2_0,99.6277,33.3175,10857.98
x3_0,99.6277,33.3175,10857.98
x4_0,99.6185,33.3600,10850.60

=== Decryption-Side Key Sensitivity (eps=1e-13) ===
Variable,NPCR vs Correct (%),UACI vs Correct (%),NPCR vs Original (%),UACI vs Original (%),MSE vs Original
x1_0,99.5850,31.1452,99.5850,31.1452,9394.6601
x2_0,99.5850,31.1452,99.5850,31.1452,9394.6601
x3_0,99.5850,31.1452,99.5850,31.1452,9394.6601
x4_0,99.5682,31.0766,99.5682,31.0766,9387.0424

=== Multi-Epsilon Sweep (x1 perturbed) ===
Epsilon,NPCR (%),UACI (%)
1e-10,99.6185,33.4729
1e-11,99.6399,33.2795
1e-12,99.5193,33.2841
5e-13,99.6536,33.4749
1e-13,99.6277,33.3175
5e-14,99.6353,33.3909
1e-14,99.6033,33.5116
1e-15,99.6246,33.3776
1e-16,0.0000,0.0000
